Date,Article,Price,Parking,Rooms,Meters,Floor,Sqmp
04-11-2020,84359981,1200,0,2,85.0,1,14.12
04-11-2020,31793736,1000,0,2,70.0,1,14.29
04-11-2020,86431668,1100,0,2,60.0,5,18.33
04-11-2020,89143889,1000,0,2,54.0,1,18.52
04-11-2020,89138142,800,0,2,53.0,2,15.09
04-11-2020,89133704,750,0,3,58.0,0,12.93
04-11-2020,89133681,945,0,2,45.0,0,21.0
04-11-2020,89118401,1100,0,2,60.0,4,18.33
04-11-2020,89102843,1130,0,4,120.0,2,9.42
04-11-2020,89091640,1100,0,2,50.0,4,22.0
04-11-2020,1001803,1100,0,2,60.0,2,18.33
04-11-2020,89022506,1200,0,3,60.0,2,20.0
04-11-2020,89007913,1150,0,2,72.0,0,15.97
04-11-2020,88972971,1050,0,3,65.0,4,16.15
04-11-2020,88885462,985,0,3,69.0,0,14.28
04-11-2020,88874603,1200,0,2,85.0,2,14.12
04-11-2020,88870838,900,0,2,80.0,1,11.25
04-11-2020,88770125,995,0,3,70.0,0,14.21
04-11-2020,88457719,945,0,3,69.0,0,13.7
04-11-2020,88098979,999,0,2,74.0,1,13.5
04-11-2020,87618977,1125,0,3,59.0,0,19.07
04-11-2020,34297283,1150,0,2,63.0,5,18.25
04-11-2020,89128402,950,0,2,90.0,0,10.56
04-11-2020,89126834,1200,0,3,83.0,9,14.46
04-11-2020,89126537,1000,0,2,65.0,2,15.38
04-11-2020,89126364,840,0,3,76.0,0,11.05
04-11-2020,30814085,900,0,2,80.0,0,11.25
04-11-2020,89114991,1000,0,2,60.0,4,16.67
04-11-2020,89090448,900,0,2,42.0,1,21.43
04-11-2020,89088392,795,0,3,53.0,0,15.0
04-11-2020,87998180,920,0,3,60.0,0,15.33
04-11-2020,89051172,1200,0,2,52.0,4,23.08
04-11-2020,89047199,975,0,2,71.0,0,13.73
04-11-2020,89032887,750,0,2,58.0,3,12.93
04-11-2020,89029689,1100,0,3,65.0,1,16.92
04-11-2020,89026685,1100,0,3,80.0,0,13.75
04-11-2020,89026151,1100,0,3,80.0,0,13.75
04-11-2020,89026147,1040,0,3,65.0,5,16.0
04-11-2020,1011608,1200,0,2,71.0,7,16.9
04-11-2020,89024307,1100,0,2,53.0,0,20.75
04-11-2020,36354712,1125,0,2,59.0,0,19.07
04-11-2020,88990263,1120,0,3,73.0,1,15.34
04-11-2020,88981091,1150,1,2,66.0,2,17.42
04-11-2020,88975019,1000,0,3,75.0,6,13.33
04-11-2020,88956409,1200,0,3,86.0,3,13.95
04-11-2020,88951470,1150,0,2,60.0,1,19.17
04-11-2020,88942625,1100,0,3,80.0,0,13.75
04-11-2020,88942069,1150,0,2,89.0,3,12.92
04-11-2020,88934645,1200,0,3,80.0,1,15.0
04-11-2020,88653658,945,0,3,73.0,1,12.95
04-11-2020,39372700,980,0,2,50.0,4,19.6
04-11-2020,82040806,1100,0,3,60.0,4,18.33
04-11-2020,83503603,1100,0,2,65.0,3,16.92
04-11-2020,89117478,900,0,2,57.0,2,15.79
04-11-2020,89098848,1100,0,3,90.0,4,12.22
04-11-2020,89091839,1000,0,2,54.0,4,18.52
04-11-2020,89090850,1150,0,3,80.0,5,14.38
04-11-2020,86010593,1150,1,3,60.0,1,19.17
04-11-2020,89077844,850,0,2,45.0,1,18.89
04-11-2020,33993046,1200,0,2,55.0,3,21.82
04-11-2020,89050086,1200,0,3,72.0,3,16.67
04-11-2020,89023671,1200,0,4,86.0,3,13.95
04-11-2020,89005890,890,0,3,63.0,3,14.13
04-11-2020,88978631,1200,0,2,80.0,7,15.0
04-11-2020,88963559,900,0,3,65.0,6,13.85
04-11-2020,88924828,950,0,2,55.0,5,17.27
04-11-2020,88924372,1200,0,2,84.0,4,14.29
04-11-2020,88912175,1200,0,4,79.0,3,15.19
04-11-2020,88910509,1150,0,3,85.0,7,13.53
04-11-2020,88910355,950,0,3,70.0,3,13.57
04-11-2020,88308782,1150,0,2,70.0,2,16.43
04-11-2020,88907106,1150,0,3,93.0,7,12.37
04-11-2020,88904792,1000,0,2,55.0,1,18.18
04-11-2020,88904611,1000,0,2,55.0,4,18.18
04-11-2020,82580839,1200,0,2,74.0,3,16.22
04-11-2020,88897934,1050,0,3,73.0,3,14.38
04-11-2020,88891296,1200,0,4,90.0,3,13.33
04-11-2020,88811368,1200,1,3,90.0,11,13.33
04-11-2020,88865667,980,0,2,60.0,2,16.33
04-11-2020,88858340,990,0,3,94.0,8,10.53
04-11-2020,88854175,1070,1,3,80.0,2,13.38
04-11-2020,88853375,1200,0,2,52.0,2,23.08
04-11-2020,88844386,1200,0,3,75.0,6,16.0
04-11-2020,88839217,800,0,3,62.0,2,12.9
04-11-2020,88834661,1200,0,3,80.0,4,15.0
04-11-2020,88830986,1050,0,3,70.0,3,15.0
04-11-2020,88827997,950,0,2,60.0,1,15.83
04-11-2020,88826630,1200,0,2,75.0,1,16.0
04-11-2020,88787257,1200,0,3,75.0,5,16.0
04-11-2020,84255497,950,0,2,51.0,4,18.63
04-11-2020,88780844,1100,0,2,72.0,1,15.28
04-11-2020,88778219,970,1,2,75.0,1,12.93
04-11-2020,88710923,850,1,2,55.0,2,15.45
04-11-2020,88690309,995,0,2,57.0,5,17.46
04-11-2020,40237138,1200,0,2,78.0,6,15.38
04-11-2020,33292017,875,0,2,80.0,3,10.94
04-11-2020,88629205,1100,0,2,70.0,0,15.71
04-11-2020,88627826,1000,0,2,42.0,0,23.81
04-11-2020,86460962,900,0,3,65.0,5,13.85
04-11-2020,88557155,850,0,2,71.0,2,11.97
04-11-2020,88494374,980,0,2,60.0,3,16.33
04-11-2020,88396406,1080,1,2,65.0,0,16.62
04-11-2020,88395876,930,1,2,75.0,2,12.4
04-11-2020,88260335,800,0,3,58.0,4,13.79
04-11-2020,88219046,790,0,2,52.0,0,15.19
04-11-2020,85631410,983,1,2,60.0,5,16.38
04-11-2020,86952278,1199,0,2,65.0,2,18.45
04-11-2020,87752049,850,0,2,48.0,6,17.71
04-11-2020,87944208,1100,0,2,64.0,4,17.19
04-11-2020,87466667,1200,0,4,85.0,1,14.12
04-11-2020,86271455,980,1,3,65.0,1,15.08
04-11-2020,88962843,967,0,2,81.0,1,11.94
04-11-2020,89128335,1190,0,2,70.0,1,17.0
04-11-2020,89128326,1190,0,2,70.0,1,17.0
04-11-2020,89126930,1200,0,3,73.0,1,16.44
